time;year;cao_group;avg_std;area_coverage
1943-01-23;1943;23.0;-0.2808728397647743;0.0
1943-01-24;1943;23.0;0.3426524216231379;0.0
1943-01-25;1943;23.0;0.5163695587776295;0.0
1943-01-26;1943;23.0;0.031929241968667525;0.022298456260720412
1943-01-28;1943;24.0;-0.26809153497847854;0.01078167115902965
1943-01-29;1943;24.0;-0.026336290832021644;0.0
1943-01-30;1943;24.0;0.2221033621905985;0.0
1943-01-31;1943;24.0;0.6781464467815379;0.0
1943-02-04;1943;25.0;0.9326716800485411;0.0
1943-02-05;1943;25.0;1.2649619038284161;0.0
1943-02-06;1943;25.0;1.1730573051564652;0.0
1943-02-07;1943;25.0;0.9286165367187527;0.0
1943-02-08;1943;25.0;0.2908042518260179;0.0
1943-02-09;1943;26.0;-0.05255882532075035;0.0
